owner,name,status,license_path,license_name,download_url,saved_path,detail
open-pomodoro,openpomodoro-cli,saved,LICENSE,MIT License,https://raw.githubusercontent.com/open-pomodoro/openpomodoro-cli/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/openpomodoro-cli/LICENSE,
rust-lang,rust-analyzer,saved,LICENSE-APACHE,Apache License 2.0,https://raw.githubusercontent.com/rust-lang/rust-analyzer/master/LICENSE-APACHE,/home/alex/code/machineconfig/.ai/repos/rust-analyzer/LICENSE-APACHE,
tbillington,kondo,saved,LICENSE,MIT License,https://raw.githubusercontent.com/tbillington/kondo/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/kondo/LICENSE,
jesseduffield,lazygit,saved,LICENSE,MIT License,https://raw.githubusercontent.com/jesseduffield/lazygit/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/lazygit/LICENSE,
jesseduffield,lazydocker,saved,LICENSE,MIT License,https://raw.githubusercontent.com/jesseduffield/lazydocker/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/lazydocker/LICENSE,
o2sh,onefetch,saved,LICENSE.md,MIT License,https://raw.githubusercontent.com/o2sh/onefetch/main/LICENSE.md,/home/alex/code/machineconfig/.ai/repos/onefetch/LICENSE.md,
knbr13,gitcs,saved,LICENSE,MIT License,https://raw.githubusercontent.com/aladdin-io/gitcs/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/gitcs/LICENSE,
casey,just,saved,LICENSE,Creative Commons Zero v1.0 Universal,https://raw.githubusercontent.com/casey/just/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/just/LICENSE,
denisidoro,navi,saved,LICENSE,Apache License 2.0,https://raw.githubusercontent.com/denisidoro/navi/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/navi/LICENSE,
dbrgn,tealdeer,saved,LICENSE-APACHE,Apache License 2.0,https://raw.githubusercontent.com/tealdeer-rs/tealdeer/main/LICENSE-APACHE,/home/alex/code/machineconfig/.ai/repos/tealdeer/LICENSE-APACHE,
GyulyVGC,sniffnet,saved,LICENSE-APACHE,Apache License 2.0,https://raw.githubusercontent.com/GyulyVGC/sniffnet/main/LICENSE-APACHE,/home/alex/code/machineconfig/.ai/repos/sniffnet/LICENSE-APACHE,
fujiapple852,trippy,saved,LICENSE,Apache License 2.0,https://raw.githubusercontent.com/fujiapple852/trippy/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/trippy/LICENSE,
pythops,oryx,saved,LICENSE,GNU General Public License v3.0,https://raw.githubusercontent.com/pythops/oryx/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/oryx/LICENSE,
peltho,tufw,saved,LICENSE.txt,MIT License,https://raw.githubusercontent.com/peltho/tufw/main/LICENSE.txt,/home/alex/code/machineconfig/.ai/repos/tufw/LICENSE.txt,
Chleba,netscanner,saved,LICENSE,MIT License,https://raw.githubusercontent.com/Chleba/netscanner/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/netscanner/LICENSE,
sharkdp,hyperfine,saved,LICENSE-APACHE,Apache License 2.0,https://raw.githubusercontent.com/sharkdp/hyperfine/master/LICENSE-APACHE,/home/alex/code/machineconfig/.ai/repos/hyperfine/LICENSE-APACHE,
cointop-sh,cointop,saved,LICENSE,Apache License 2.0,https://raw.githubusercontent.com/cointop-sh/cointop/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/cointop/LICENSE,
netxs-group,vtm,saved,LICENSE,MIT License,https://raw.githubusercontent.com/directvt/vtm/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/vtm/LICENSE,
GitSquared,edex-ui,saved,LICENSE,GNU General Public License v3.0,https://raw.githubusercontent.com/GitSquared/edex-ui/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/edex-ui/LICENSE,
sedwards2009,extraterm,saved,LICENSE.txt,MIT License,https://raw.githubusercontent.com/sedwards2009/extraterm/master/LICENSE.txt,/home/alex/code/machineconfig/.ai/repos/extraterm/LICENSE.txt,
nushell,nushell,saved,LICENSE,MIT License,https://raw.githubusercontent.com/nushell/nushell/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/nushell/LICENSE,
mozilla,geckodriver,saved,LICENSE,Mozilla Public License 2.0,https://raw.githubusercontent.com/mozilla/geckodriver/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/geckodriver/LICENSE,
charmbracelet,mods,saved,LICENSE,MIT License,https://raw.githubusercontent.com/charmbracelet/mods/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/mods/LICENSE,
sigoden,aichat,saved,LICENSE-APACHE,Apache License 2.0,https://raw.githubusercontent.com/sigoden/aichat/main/LICENSE-APACHE,/home/alex/code/machineconfig/.ai/repos/aichat/LICENSE-APACHE,
iamadamdev,bypass-paywalls-chrome,fetch_failed,,,,,license_api_status_451
ShishirPatil,gorilla,saved,LICENSE,Apache License 2.0,https://raw.githubusercontent.com/ShishirPatil/gorilla/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/gorilla/LICENSE,
oschwartz10612,poppler-windows,saved,LICENSE,MIT License,https://raw.githubusercontent.com/oschwartz10612/poppler-windows/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/poppler-windows/LICENSE,
